title,description,price,image,slug,availability,status,sku
Vitamin C 1000mg,"Hochdosiertes Vitamin C zur Stärkung des Immunsystems und Abwehrkräfte. 90 Tabletten.",12.99,,vitamin-c-1000mg,in_stock,published,SKU-001
Omega-3 Fischöl,"Hochwertiges Omega-3 aus nachhaltigem Fischfang. Unterstützt Herz, Gehirn und Augen. 60 Kapseln.",18.49,,omega-3-fischoel,in_stock,published,SKU-002
Magnesium 400mg,"Magnesium-Bisglycinat für Muskeln, Nerven und Schlaf. Ideal bei Krämpfen. 120 Tabletten.",9.99,,magnesium-400mg,in_stock,published,SKU-003
Vitamin D3 2000 IE,"Vitamin D3 in Olivenöl für maximale Aufnahme. Für Knochen und Immunsystem. 180 Kapseln.",14.99,,vitamin-d3-2000ie,in_stock,published,SKU-004
Zink 25mg,"Zink-Bisglycinat für Immunsystem, Haut und Haare. Magenschonend. 100 Tabletten.",7.49,,zink-25mg,in_stock,published,SKU-005
Probiotika Komplex,"10 Bakterienstämme mit 10 Milliarden KBE für eine gesunde Darmflora. 30 Kapseln.",22.99,,probiotika-komplex,in_stock,published,SKU-006
Kollagen Pulver,"Hydrolysiertes Kollagen Typ I & III für Haut, Haare und Gelenke. 300g Pulver.",29.99,,kollagen-pulver,low_stock,published,SKU-007
Ashwagandha 500mg,"KSM-66 Ashwagandha-Extrakt zur Stressreduktion und Verbesserung der Schlafqualität. 60 Kapseln.",16.99,,ashwagandha-500mg,in_stock,published,SKU-008
Curcuma & Pfeffer,"Curcumin mit 95% Curcuminoiden und Piperin für maximale Bioverfügbarkeit. 90 Kapseln.",13.49,,curcuma-pfeffer,in_stock,published,SKU-009
B-Komplex Forte,"Alle 8 B-Vitamine in aktiver Form für Energie, Nerven und Konzentration. 60 Kapseln.",11.99,,b-komplex-forte,in_stock,published,SKU-010
Eisen 14mg,"Eisen-Bisglycinat – gut verträglich ohne Magenbeschwerden. Für Blutbildung. 90 Kapseln.",8.99,,eisen-14mg,in_stock,published,SKU-011
Melatonin 1mg,"Pflanzliches Melatonin für schnelleres Einschlafen und erholsamen Schlaf. 60 Tabletten.",6.99,,melatonin-1mg,in_stock,published,SKU-012
Coenzym Q10 100mg,"Ubichinon Q10 für Zellenergie, Herzgesundheit und Anti-Aging. 60 Kapseln.",24.99,,coenzym-q10-100mg,low_stock,published,SKU-013
Spirulina Tabletten,"Reines Spirulina-Pulver in Tablettenform – reich an Proteinen und Chlorophyll. 200 Tabletten.",15.99,,spirulina-tabletten,in_stock,published,SKU-014
Whey Protein Vanilla,"Premium Molkenprotein-Isolat mit Vanillegeschmack – 25g Protein pro Portion. 1kg Beutel.",34.99,,whey-protein-vanilla,in_stock,published,SKU-015
